Key,Summary,Issue Type,Status,Assignee,Date
HA30-15376,Production Hot Fix Release 1.1.289 (489) for IOS Android and Web,Task,New / Open,Abraham,11-Sep-26
HA30-15375,Feed Module Automation – Add Ingredient and Ration Feeding Flow on iOS & Android,Task,In Progress,Mariappan E,11-Sep-26
HA30-15374,Run QA Automation Regression Suite on Staging build 5.0.153 (05),Task,In Progress,Mariappan E,11-Sep-26
HA30-15373,Global Search – Deleted Multiple Animals Still Displayed Before Sync,Bug,Ready for Testing,Muhundhan E,11-Sep-26
HA30-15372,Activity Log Displays Other-Location Animals in Add to Inventory Activity,Bug,Ready for Testing,Allwin. T,11-Sep-26
HA30-15371,HerdView SnapView - Status Filter Death Displays an Error Message,Bug,Done,Raji S,11-Sep-26
HA30-15369,Dev task - Implement Crashlytics Error Guard and Handling for Feed Module,Task,In Progress,samuel kishore kumar,11-Sep-26
HA30-15368,Something Went Wrong Error Occurs When Deleting an Added Calf from Parentage,Bug,Ready for Testing,Allwin. T,11-Sep-26
HA30-15367,Chute Session - Medicine Details Are Not Displayed Properly When Clicking the three-dot menu icon,Bug,New / Open,Alpa Mori,11-Sep-26
HA30-15366,Firebase Crash - While Selecting animal and try to move the animals Crash is reporting in treminal,Bug,New / Open,samuel kishore kumar,11-Sep-26
HA30-15365,Prod Issue - Add Animals to Inventory Popup Is Not Displayed for New Tags in Counting Session (Tablet),Bug,Done,gnana sankar,11-Sep-26
HA30-15364,Activity Log - Only One Medicine Record Displayed When Two Medicines Are Added via Chute Session,Bug,Ready for Testing,Allwin. T,11-Sep-26
HA30-15363,Production Hot Fix Release 1.1.288 (488) for IOS Android and Web,Task,Done,Abraham,11-Sep-26
HA30-15362,Staging Release 5.0.153 (05) for IOS Android and Web,Task,Done,Abraham,11-Sep-26
HA30-15358,Search Available UHF Tags by Additional ID,Story,New / Open,Unassigned,10-Sep-26
HA30-15357,Group Treatment protocols and Processing protocols in settings & assignment,Story,New / Open,Unassigned,10-Sep-26
HA30-15356,Run QA Automation Regression Suite on Staging build 5.0.153 (03),Task,Done,Mariappan E,10-Sep-26
HA30-15355,Upload Excel: Error Displayed When UHF Primary ID Is Added as Additional ID for Visual Tag,Bug,New / Open,Alpa Mori,10-Sep-26
HA30-15354,Upload Excel: Error Displayed When UHF Primary ID Is Added as Additional ID for LF Tag,Bug,New / Open,Alpa Mori,10-Sep-26
HA30-15353,UHF Primary ID Cannot Be Added as Additional ID for an LF Tag,Bug,Ready for Testing,samuel kishore kumar,10-Sep-26
HA30-15352,Activity Log Combines Tags from Separate HSR and LF Reader Sessions,Bug,Done,gnana sankar,10-Sep-26
HA30-15351,Upload Excel: Error Message Displayed When LF Primary ID Is Added as Additional Visual ID,Bug,In Progress,Alpa Mori,10-Sep-26
HA30-15350,Update Counting Session Regression Automation for R6 Reader Selection UI Changes,Task,Done,Mariappan E,10-Sep-26
HA30-15349,Production Hot Fix Release 1.1.287 (487) for IOS Android and Web,Task,Done,Abraham,10-Sep-26
HA30-15348,Breed Color markings Alignment Is Incorrect in Activity Log After Adding a New Animal,Bug,Done,gnana sankar,10-Sep-26
